Q6,Q7
Very important,The packages used for analysis help reviewers and readers understand the nuances in the methodology used and provide transparency for repeatability.
Extremely important,"Beside reporting the package used for meta-analysis, some essential methods in the package should be described to facilitate readers' understanding and appraising the results."
Extremely important,Different packages have different methods
Extremely important,Same as before
Extremely important,"Different packages can give different results, so this increases repeatability"
Very important,Acesso gratuito e cursos
Extremely important,"Reporting the packages used to conduct the meta-analysis is important for the same reasons as reporting the software used. Additionally, it can be helpful for other researchers to know which packages were used to conduct specific tasks in the meta-analysis, such as data extraction, data analysis, and visualization."
Very important,"For software that works with packages like R, the reporting of packages is as important as reporting the software itself, because without this information, the reader does not know what was done."
Extremely important,"It is crucial for transparency and reproducibility in research to provide information about the software used. This allows readers to understand and replicate the analysis, which is important for the scientific community to assess the validity of the findings and build upon the research in the future."
Very important,The results could be replicated
Very important,"Same remark as before. Need also to provide clearly the equation in the main text, (and/or the script in supp mat)"
Extremely important,Same as comments on item 1
Very important,Some analysis should be done with a specific R package.
Very important,"Perhaps this does not apply to all types of meta-analysis software, but I guess this can be selected as N/A."
Very important,"Would this apply to all software that would be used, or only a subset?"
Extremely important,Important for replication of results
Extremely important,Still learning MATES
Slightly important,"To my experience package is imprtant when using R. There might be other metanalysis tools (Sigma Stat, SPSS, Excel)"
NA,"I am not sure i understand the framing ""report the packages"". Software packages?"
Moderately important,"I’d rather have the model/methods well described but if not, the package at least gives you a starting point for what was likely done (is assume defaults likely used)"
Very important,It is vital to reproduce the analysis.
Extremely important,The report of software packages is important to work towards a standardization of meta-analysis methods
Very important,"As said above, it is important to report the code + the statistical methods/models. The sofware and package are useful elements but are not sufficient alone."
Very important,so others can see how useful it is and use or not use it.
Very important,Need some explanation abuot what packages are.
Extremely important,"I use R and understand the importance of citing packages. But do all softwares actually have ""packages""?"
Moderately important,"I feel that there is overlap between item 1 and 2 and 3, or at least some overlap. I think that this could be simplified into 1 item for which at least some component of these three is mentioned"
Moderately important,generally the author has the data available to verify what has been reported
Very important,"Not necessarily crucial if clear within documented code, but ideal."
Very important,"This is important, but perhaps additional detail could be given around the packages pertinent to the analysis. I personally use tons of different R packages but citing all of them would be tedious and cluttered (e.g., citing 'dplyr', which is just for manipulating data but not so much the analysis). I do see some authors mix this up on occasion. 
Suggested revision:
""Do the authors report the packages used to conduct the analysis (i.e., the computations, statistical models, and inferences comprising the meta-analysis) within the manuscript or supplementary material? """
Extremely important,"May require some language specification as some people use ""package"" and ""software"" interchangeably."
Extremely important,"When reporting the software, it is important to report both the package and the version numbers to ensure latest and appropriate tools have been used in the analysis."
Moderately important,"Software packages change, but usually not significantly. Relevance of meta-analysis should go beyond versions/packages of software. It's not a problem if mentioned, but I won't shot down a contribution because it does not mention software package."
Extremely important,Meta-analyses must be carried out with some software to be more efficient in the statistical analysis of the chosen measure of association.
Moderately important,The difference between this and the previous question regarding software could be clearer
Extremely important,"Not only the packages, but also their version."
Moderately important,"packages Can be changed very fast over time, and it has no meaning to know about not existing package!"
Very important,Specify the version of the package
Moderately important,"As before, several softwares are available, generally with one official package for MA."
Very important,"Important, but keep in mind that ""packages"" is language most relevant when using R/Python as the analysis platform."
Very important,It is important
Extremely important,Important for repeatability and appraisal of potential biases
Very important,it is important to report the quality or at least have a critical assessment of the quality
Very important,"Your paper must provide enough information that your work could be repeated. 
Editors and referees will certainly read your text with an eye for repeatability."
Extremely important,Reproducibility
Extremely important,"As part of the methodology, authors should report the packages used to conduct the analysis. This is for transparency, and also to train readers and new researchers in the field."
Very important,"It is important if you use software like R. In CMA, it seems not relevant."
Very important,Please refer to my comment on the last question!
Very important,"The utmost important thing happens before MATES comes into play: professional data stratification. This is where ALL meta-analysis in ecology - plant sciences I have seen failed completely. The reason: it is done by non-biology experts, people in maths or stats."
Slightly important,"Still, this would be useful for other authors to replicate the review, but for meta-analysis itself is not important"
Very important,"If the package has slight differences that can result in distinct outcomes, it will be the same as the previous question. Then is it important report the details."
Very important,"Reporting needs to be clear and precise, and main packages (and versions used) should be reported. Since the number of packages can quickly add up, additional packages could be listed in the scripts."
Extremely important,"It's extremely important for others to understand the methodology, and support the study's validity."
Moderately important,Same remark as before applies here.
