Q28,Q29
Very important,It provides a framework for interpreting the results. More important is publishing the data somewhere.
Extremely important,Absolutely important information.
Extremely important,"Basic information, must include this."
Very important,This is important so that the reader knows to which extend data was available - Not sure how study is defined here - Can one study include several effect sizes? Should be specified.
Very important,Understand the sampling size
Moderately important,"I would tend to focus more on the accuracy of the estimated effects (i.e., mean effect, confidence intervals, heterogeneity, etc.). For me, the number of included studies is often a ""headline effect"", to get published in 'big' journals.
+ we could extract several effect-sizes for une primary study..
But important to clearly have the list of studies and the database , for transparency, reproducibility, and to update the database
"
Extremely important,"There should be a list of all studies, not only the total number. I have bene involved in instances were a different research group have tried to replicate a meta-analysis done by another group, and without the study lists it would be difficult to determine why both groups got completely different results"
Extremely important,This is a fundamental piece of information for the methods of a systematic review. Ideally the full references of every included study should also be available.
Extremely important,This is a key element.
Extremely important,It is important to discuss criteria for selection of studies and selection of risk estimates. Also meta-analysis should not be done on small numbers of studies
Extremely important,Very fundamental information that simply must be there.
Extremely important,a very basic information needed to give an idea of the comprehensiveness of the search and available studies.
Extremely important,Pivotal to the quality of reporting so the reader knows the breadth of studies in the analyses
Extremely important,It's important that you clarify what is meant by study.  I find this is a chronic source of confusion.  It it a paper?  An experiment?  An effect size?  Something else?
Very important,It helps readers contextualise the synthesis in terms of the knowledge base.
Extremely important,The higher the number the higher the strengh of the meta-analysis and this is a basic reporting that needs to be disclose in every review
Extremely important,Essential. No further comment.
Extremely important,"Reporting the total number of studies in a meta-analysis is vital for the quality of the scientific report. This information provides insight into the breadth and representativeness of the evidence reviewed, which is crucial for assessing the reliability of the results. A larger number of studies generally implies greater statistical power and reliability. Transparency in presenting this number reflects a rigorous and methodical approach in the research, essential for the integrity of the study. Additionally, it facilitates reproducibility and verification of the analysis by other researchers. Authors should clearly detail the total number of studies and the selection process in the manuscript and supplementary material, allowing for a thorough and critical evaluation by the scientific community and reinforcing the robustness of the meta-analysis."
Extremely important,Mandatory to evaluate what studies are assessed and included compared to those not.
Extremely important,Important for interpretation and repeatability
Very important,"Useful for defining the research question, data collection, data preparation, data analysis, and reporting and meta-analysis."
Extremely important,This is basic information and should be included. Analyzing 3 vs. 35 papers will have different implications for statistics and robustness.
Extremely important,is it really a question to ask - would anyone perform a meta-analysis without reporting the n?
Extremely important,"Trivial, of course you need to describe your sample and what its structure is"
Extremely important,This is related to the previous question. The readers need to know how many studies were included in the meta-analysis because slight differences in the number of studies can lead to distinct results if the sensitivity is high.
Extremely important,"Again, this goes back to the transparency of reporting :)"
Extremely important,"I think it is also important to define what they used as a 'study'. Sometimes the study could be the primary paper itself, but sometimes there could be multiple case studies reported in a single primary paper (which in turn is still different from an effect size, as multiple effect sizes could be reported from a single case study e.g., different species outcomes). So, do they report the total number of studies included in the analysis and define a study."
