Q14,Q15
Extremely important,More requirement should be put on the information disclosure.
Very important,Just a sentence will do.  It gives the reader an idea if they know what they are doing (for example using a fixed-effects model because there 'was no heterogeneity' is not a great sign)
Moderately important,"There is not much choice in a meta-analysis, so the few constrains and assumptions should be reported, but there is not a big variety so not much justification is needed"
Very important,Reporting a justification for the primary model (or first model) used to conduct the meta-analysis is important because it helps other researchers to understand why the chosen model was the most appropriate one for the data and the research question. This information can be helpful for other researchers when choosing a model for their own meta-analyses.
Slightly important,I guess the most trivial justification would be that the selected type of model best fits the data. Not sure if such justification needs to be mentioned in the manuscript.
Very important,Good to provide rationale of the selection
Very important,"yes, for me authors should justify why the do not used random effect model, and proper weighting,... (if it is the case)."
Very important,needed to see that hte authors have considered other analysis as well.
NA,same comment as previous
Very important,"The challenge here is what qualifies as ""justification""?  Is it a citation of another paper or book?  Or something more substantive?"
Very important,"I think any model used should be mentioned, with justification of why a change is needed. I don’t think too much detail is needed though on the first model."
Moderately important,Same comment as the question before
Moderately important,"Model may be equal to ""hypothesis""?"
Very important,"'-Some papers may not have a primary model but go straight to meta-regression. From my point of view, this would be the criterion to select NA in this question (and it would be a matter for procedural quality, rather than reporting quality). 
-The criterion specified for ""No"" is rather long and confusing."
Extremely important,Definitely needed as this will give some clues about the extent authors understand the model and its assumptions.
Not at all important,"Similar to Q12, I don't understand this question/what primary model means, so I assume it is not important"
Moderately important,"Justification is clearly important, I'm just not sure if there should always be a strict statement of it. Also, how much of the model has to be justified, exactly? There's a lot when you think about it. E.g.,  one could justify the use of: the normal distribution for the outcome of interest conditional on the mean (why not the Gamma or any other distribution?), the assumption of varying effects (e.g. between-study intercept) coming from a common normal distribution, why a predictor variable is modeled as linear vs. nonlinear vs. semiparametric/smooth, and so on.
Further, what if the justification was really weak? E.g., ""to account for study-specific effects, we used a meta-analytic model"" -- well sure! Put another way, what if the model was weakly justified and there's actually much more that could've been done within the model and that would've been helpful (i.e. so it's justified, just not mentioned) but it was simply overlooked?"
Moderately important,"I am not sure I fully understand this item. Are you asking for a justification as to why this particular type of model or package was used? Or a justification for why some covariates and random effects were fitted? 
In the former, it is often subjective (e.g., using bayesian vs. frequentist is not always easy to justify).
In the latter, more often than not, people fit covariates to address their main hypotheses, and random effects are here to deal with bias. 
I think this question would benefit from more details about what type of justification are meant here, and for what part of the model."
Very important,"Could perhaps use some specificity. E.g., why did the authors use fixed/random effects/REML, etc). How did they harmonise across studies, e.g., where one paper used a continuous exposure measure while others used categorical, or one paper used Odds Ratios and another used Relative Risk."
Extremely important,"Justifying the primary model in a meta-analysis is essential for the quality of the scientific report. This practice ensures transparency in model selection, facilitates the evaluation of its suitability for the data and study objectives, and allows for critical evaluation by the scientific community. Moreover, it improves the reproducibility and continuity of scientific work."
Extremely important,Just needs a line or two.
Very important,Relevant to provide information of any difference due to model used.
Moderately important,See response to previous question
Very important,"This can be really useful as a reviewer if things don't seem to match up (e.g. question, analysis, results) then it can help to work out where the issue lies (e.g. poorly articulated question, or misunderstanding of the model). 

Also useful for other researchers to gain an understanding re the models and why they are used"
Extremely important,"to provide clear and reliable conclusions, to convey vast amounts of information"
Extremely important,Readers should understand the reasoning behind including the variables introduced in the models.
Moderately important,"This might not be crucial for the quality of the study itself because if the type of model was already specified, reproducing the analysis should yield the same results. I think this would be rather important from an informative standpoint and to make the paper more well rounded."
Extremely important,"Most often, the justification of how (and why) data were structured in the way this was done is insufficient."
Very important,"If the first model was discarded, it is crucial to know the first approach that the authors used, in order to evaluate the improvements and changes on the final model."
Extremely important,I think this answer reflects actually how I understood the previous question
Very important,This is for documentation for future reference and for communication of specific choices.
