Q10,Q11
Moderately important,"I think it can be important for transparency. Although, admittedly I still haven't published the code for my meta-analysis. The PhD timeline has kept me from tidying it up into a format that would make sense for the user. In addition, on a number of occasions when I've looked at published code, I've found that 'homemade' functions have been used, but the details of those functions aren't always in the code. So in many ways the code isn't actually usable."
Very important,Disclosing the code is of much help to the scientific community.
Very important,You just can't with RevMan - which is why R is better
Very important,"At least a sample code should be reported, so the tiny factors that can cause differences can be controlled"
Extremely important,"Reporting the code used to conduct the meta-analysis is important for several reasons. First, it allows other researchers to replicate the analysis and to verify the results. Second, it provides information about the specific steps that were taken to conduct the meta-analysis, which can be helpful for other researchers when developing their own meta-analysis code. Third, it helps to ensure that the meta-analysis was conducted in a transparent and reproducible manner."
Slightly important,"Code helps for absolute transparency, but should not be necessary if the used models are fully described."
Very important,"Verification, Transparency and reproducible"
Extremely important,The work can be replicated and learn among the public/readers
Very important,The best for transparency and reproducibility
Extremely important,"This is important in many circumstances. For example, analyzing how the authors included random effects or estimates of regression style meta-analyses"
Slightly important,Reporting of code can be very important when the meta-analytic methods are not standard or demand purpose-written code.
Extremely important,This is important but including the data file too is important for reproducibility. Retyping the tables to actual codes used is a barrier for review of reproducibility.
Moderately important,In the interests of open research the code may be useful to future authors conducting systematic reviews
Extremely important,Does this include the code for data wrangling and effect size calculation etc? Some studies might only include models used on processed data
Extremely important,I think the code is more important than the package or version information. Without the code the analysis is much more difficult to replicate.
Very important,Descriptions in methods sections are never precise or detailed enough to allow full replication of a study
Extremely important,"this is an important aspect of reproducibility
"
Extremely important,I think reporting of code is probably the most important aspect for reproducibility and transparency
Very important,N/A
Moderately important,Matters most if methods inadequately described
Very important,"Again important for all scientific reproducibility (not necessarily specific to meta-analysis though...)

I wonder if these questions should be more specific for meta-analysis, rather than a repetition of guides for scientific reproducibility."
Moderately important,"The code is usefull for replicating the methods used, and to look for improvements/flaws in methods."
Extremely important,"Yes, this is what is needed."
Extremely important,"Not sure what is meant by an ""attached"" repository. Could""publically accessible"" be better phrasing?"
Slightly important,I dont know
Extremely important,"It is important that the meta-analysis (or any data analysis) is reproducable. For that, you need the code."
Extremely important,items 2 and 3 rely on this. They would be useless without then getting the code.
Moderately important,"Reporting the code is important for transparency, but if the methods are well described/reported the analysis should be repeatable"
Extremely important,"I'm a big advocate of this. But this item may need to generalise to those who don't use a computational language (lest we discriminate against spreadsheet warriors). Valid meta-analyses can be done without any scripts at all (not that I would ever do/suggest such a thing). Perhaps the item can emphasise a ""reproducible workflow"" to capture this nuance."
Extremely important,"I'm not sure if ""report the relevant code"" is the right terminology. Perhaps ""provide"" or ""include"". Otherwise, the wording seems fine and this, along with the data, are the most important aspects."
Very important,"Even though this may not be considered as compulsory information during publication, reporting these provide transparent information the analysis process which is helpful in assessment."
Extremely important,"The importance of reporting the code used in conducting a meta-analysis is fundamental to the quality of scientific reporting. It allows transparency and reproducibility of the analysis, review of the analysis performed and quality standards that allow the analysis methods used to be reproducible, consistent and comparable to each other."
Very important,"I use R so this is easy for me, but it may not be so easy for people using point-and-click software.  It is good practice though."
Moderately important,"The code will be useful to get only overall idea, but the research results include more than the code only! The author reviews the results and organizes them to be meaningful"
Extremely important,Authors should report the main analysis code instead of replication code for figures
Moderately important,Helpful but rarely done due to risk of plagiarism. I would not ask for mandatory publication of code
Extremely important,"Improves transparency and reproducibility. Also, enables new researchers with tools to better understand analytical steps in detail."
Slightly important,"This is important for repeatability and detection of bias, however this will depend on which package is used. 'User-friendly' packages with relatively simple questions won't report code as such."
Very important,"only relevant if code was developed, or if there is a specific reason for choosing a particular code"
Extremely important,for data analysis
Extremely important,Reliability of data
Moderately important,"As part of the methodology, it is advisable that authors report the code. This would help in the transparency, and also to train new researchers in the field."
Extremely important,All of these relate to transparency
Not at all important,"Good question. It's certainly great if code is published, as it makes it easier to input data and see how the authors obtained certain results. However, if the overall reporting quality is bad, then code won't help either. If the methods section is thorough and well written, then reproduction of the analysis should be possible without the code."
Moderately important,"once the software and its version is reported, this seems like less important"
Moderately important,"It would be helpful for other researchers, but this can just be provided in the supplements"
Extremely important,"I think reporting the code should be considered a standard practice, as it helps with the repeatability and transparency of analyses, and also helps others learn how analyses can be conducted. For the last meta-analyses we conducted, I found extremely useful to have the recent paper of Nakagawa et al (2023) at hand at all times :) (REF: https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/s13750-023-00301-6)"
Extremely important,The code has educational value. It's extremely important for adhering to open science practices.
Very important,"Here too, I believe this is very important for repeatability purposes and to be able to inspect/understand how researchers have conducted the meta-analysis. There can be a lot of arbitrary decisions made during the conduct of the analysis and not all decisions go reported. However, if code is provided, readers/reviewers can see what has/has not been done and how."
Moderately important,Same remark as before applies here.
