Q30,Q31
Very important,It provides a framework for interpreting the results. More important is publishing the data somewhere.
Very important,Such information is definitely needed.
Extremely important,"Same as before, need to know this."
Moderately important,"Are effect sizes the values which are used vor meta-analysis? I guess this number is reported with the outcome of each analysis anyway, or not?"
Very important,Understand the sampling size
Very important,Important in the forest plot associated to each effect-size.
Extremely important,Again very fundamental information on the underlying data.
Extremely important,"I also think it’s important to report the number of effect sizes extracted from each study (e.g., mean +/- SD, range) to show where the data are coming from. Especially important for smaller meta-analyses."
Very important,As before (but understanding multiple effect sizes can come from a single publication).
Extremely important,"The number of included studies could differ from the ones used for each estimated meta-data, so it is important to report effect size estimates"
Very important,"Important, but probably not as important as the number of studies."
Extremely important,"
Reporting the total number of effect size estimates in a meta-analysis is essential for the quality of the scientific report. This information provides a clear view of the magnitude and diversity of the data analyzed, crucial for understanding the breadth of the phenomenon studied. A greater number of estimates indicates significant data complexity and variety, which is fundamental for a comprehensive evaluation of the study. The transparency and detail in reporting these estimates demonstrate a commitment to methodological rigor and facilitate a better understanding and assessment of the analysis. Moreover, providing this information is vital for allowing verification and reproduction of the results by other researchers, thereby strengthening the reliability and credibility of the study. Authors should detail the total number of effect sizes and their calculation process in both the manuscript and supplementary material, thus contributing to the robustness of the meta-analysis."
Extremely important,This should be mandatory if me-analysis is implemented
Extremely important,Both n and k helps researchers better understand the non-independence claims
Extremely important,important for assessing potential bias and repeatability
Very important,Effect size reporting is crucial for interpretation of applied research results and for conducting meta-analysis.
Very important,Contributes to transparency and reproducibility.
Extremely important,seems redundant with previous question
Extremely important,there should be no such analysis without descriptive stats upfront
Extremely important,Same as comment Q30 - important to report total number but also important to define what an effect size was in their analysis (this also relates the independence of effect sizes) - this is needed to understand whether there is/isn't independence
