Q34,Q35
Very important,"Detailed data extracted should be attached, with the consideration of copyright."
Extremely important,Important for replicability
Extremely important,I think raw data should be available for transparency and reproducibility. This should be a major feature of meta-analyses
Very important,Data transparency is important in simulation/modeling
Extremely important,"yes, for transparency, reproducibility, and to update the database. 
Science is cumulative. 
I Think there is a big problem in science now for not to publish the database."
Extremely important,"In order to repeat the meta-analysis, ideally the same data extractions would be used."
Slightly important,This is important for the context of open research and helping future researchers and also allows source data to be checked.
Moderately important,"sometimes you can not report the all extracted data, due to some limitation. But details of search strategy must be report with details."
Extremely important,Very important for the possibility to reproduce or verify the analysis.
Extremely important,"Definitely! For reproducibility of the research, for open science"
Extremely important,Extremely important to know what actual data (which response traits) were extracted from each study.
Extremely important,It's relatively common to provide effect sizes.  I think it is much more valuable to report the data used to obtain the effect size.
Very important,Again general reproducibility.
Extremely important,The data extraction is the basis for the begging of data retrieval and needs to be carefully conducted to enable the correct choice of variables and methods to be used in the meta-analysis.
Extremely important,"I mean, why not, but then again, do journals ask for all your data for all published primary articles?"
Moderately important,"'-Might very be hard to do if the authors have requested data to the authors of individual studies and there is potential conflict in terms of authorship/ data ownewship
-The question should be more straight-forward: ""What is the importance of publishing the database for the meta-analysis""? or similar. It is confusing to read ""report the data extracted from each eligible primary study""
-The yes and no responses include question marks, which they shouldn't
"
Very important,"In general, data should be available."
Very important,"Not entirely clear in this wording if it refers to simply reporting what variables are extracted in a methods sense, or if it means depositing the raw data somewhere, or even if reproducible image extraction tools etc. Some clarification would be good here."
Extremely important,I think it's also important to report effect size estimates with the data extracted
Extremely important,"I'm very glad to see this item. It's so disappointing how rare meta-analyses in my field actually include data! And it's not even the authors' data, it's someone else's! And it's usually paid for by public funds, so it shouldn't belong to any one individual! I'm hoping this helps things."
Extremely important,"Absolutely essential. Should also be provided in raw (i.e., direct from manuscript in original format) and harmonised formats, if possible."
Extremely important,failure to report the data is discussing a paper which has no results section. The secondary data upon which the analysis is done is extremely important
Very important,"This ensures transparency and allows for the reproducibility of the analysis, fundamental elements for the integrity of scientific research. Providing details about the extracted data, such as sample size and outcome measures, enables readers and other researchers to evaluate the quality and relevance of the included studies. It facilitates detailed scrutiny and constructive criticism, thereby contributing to continuous improvement in the research field. Moreover, the availability of this data is invaluable for future research, providing a solid foundation for new studies. Therefore, it is ideal for authors to detail these data in the manuscript, supplementary material, or an external repository, which enriches the transparency and usefulness of the meta-analysis for the scientific community."
Very important,"A list may be enough, considering that is generally similar across reviews, but such brief list should be mandatory, extensive list is fine for supplementary material"
Extremely important,"Important to guarantee transparency and reproducibility
"
Extremely important,"Important for assessing potential bias, interpretation and repeatability"
Very important,"Extracting data from studies is the norm in meta-analyses, enabling researchers to generate effect sizes when raw data are otherwise not available."
NA,It seems better to distinguish primary and secondary data extracted.
Moderately important,"Good for transparency and reproducibility, but not crucial for the overall quality."
Extremely important,you mean descriptive stats upfront? The raw tables with what had been entered into the analysis must be reported in supplementary archives. That archive should already structured in a way how the data were used in the analysis.
Extremely important,"If anyone wants to reproduce the meta-analysis, sharing the original sources and the raw database is extremely important."
Moderately important,I find it useful to include this information as supplementary materials
