Q36,Q37
Very important,Fundamentally important.
Extremely important,As before - for replicability
Very important,"Together with the effect size, all kinds of meta-data are usually reported in a database or table."
Moderately important,"As long as the data is transparent with appropriate references, the descriptions of data extraction somehow not quite important"
Extremely important,should be completely transparent!
NA,I am not sure to understand this question.
Moderately important,"Not sure exactly what is meant here: but for example if there is a study with two different measurements of growth that need to be extracted, then notes on how this was dealt with should be included in the meta-data (but not the mina manuscript as this could become very burdensome, unless it is a generic statement on how these data were dealt with)."
Moderately important,It is important to clearly understand exactly which data were extracted from studies including details such as units
Extremely important,Perhaps be more specific about what is meant by 'descriptions of the data'
Moderately important,Important for reproducibility as readers may not understand the data without descriptors.
Extremely important,reference
NA,"What is meant by "" descriptions of the data extracted from each eligible""? this is rather unclear."
Extremely important,"It's unclear what you mean by ""from each eligible within.."""
Very important,"The descriptions of data created in the meta-analysis are the basics for correct interpretation of the graphics, does not need to be very extensive."
Extremely important,not sure what you mean by descriptions. I dont think they need to describe in words each study. Rather the sort of data that they were looking for using defined inclusion criteria that apply across studies.
NA,"Missing a word -

Do the authors report descriptions of the data extracted from each eligible STUDY within the manuscript, supplementary material or external repository?"
Moderately important,"'-The yes and no and NA responses include question marks, which they shouldn't"
Extremely important,Helps to understand the details of the study and how data was coded during the review process.
Very important,"unclear what is referred to with ""descriptors""
Important, but possible to go back to the original publication if needed"
Moderately important,"Should be ""from each eligible study"". And I suppose this means I misinterpreted the previous question, if this item is descriptions. Some clarification of how item 16 and 17 are distinct and what they mean is needed for me to confidently apply them. What does descriptions of the data mean? This is not clear enough to me currently to suggest an alternative phrasing."
Very important,Very important to contextualize the results of the meta-analysis
Very important,"This is usually pretty helpful. I don't give it 'extremely' important just because there could be some cases where, for brevity's sake, a data description may not be given but if the dataset is available then that may be forgivable (in my opinion)."
Very important,"A word is missing after ""eligible"", I assume the word ""study""? By ""description"" I assume you mean metadata describing each column of the data?"
NA,Not sure what this question is asking. Is it a tabled summaries of results?
Moderately important,I consider this as not very important when assessing the reporting quality but adding this information will improve the transparency of the review methodology.
Very important,Not all papers have the methodology and that may induce differences in papers that are due mainly to methodology. This could induce a bias.
Very important,Helpful to assess missing data among the data required for inclusion.
Extremely important,Important for assessing bias
Very important,Evaluating the quality of reporting enables interpretation of the current quality of evidence and thus the current state and clinical relevancy.
Moderately important,Good for transparency and clarity.
Extremely important,I think this refers to the before mentioned archive. The listing must show the criteria (codes) by which the data were stratified in the analysis
Extremely important,"Very important for reuse of the databases, so that all the work behind compiling them can be used more effectively"
Extremely important,THIS IS HUGELY IMPORTANT IMHO!
