Q19,Q18
Somewhat easy,NA
Somewhat difficult,"Many studies don't report a global mean but report means for a series of moderators or sub-analyses. It wasn't clear if this would fall under the definition of ""overall mean"" as it might not make sense for the study to report an overall mean across all factors."
Extremely easy,NA
Extremely easy,NA
Extremely difficult,"I was never quite sure what was considered “enough” to count as an overall mean effect size. Again, this didn't seem to be done very often, so I had to make subjective judgement calls to implement this item. (Calls I was not confident about.)"
Extremely easy,NA
Extremely easy,NA
Somewhat easy,NA
Somewhat easy,NA
Neither easy nor difficult,It can be checked via the tables/graphs produced by the authors.
Somewhat difficult,"I found that many studies do not have an ""overall effect"", because it is not necessarily relevant to their questions. Then it is really hard to determine what is an ""overall mean-effect"" for the ""meta-regression"". What if the authors did a variety of meta-regressions but it does not seem that one stands out as the ""overall"" or ""main"" objective? I think it will be hard to apply this item for some studies. Maybe one solution would be to have an ""NA"" category for studies that do not have an ""overall"" aim?"
Extremely easy,Is it just going to be yeses? How do you present a meta-analysis without including the overall mean effect?
Neither easy nor difficult,NA
Extremely easy,NA
Somewhat easy,Does this include meta-analysis of sub-groups? I assumed as the questions says meta-analyseS.
Neither easy nor difficult,"Unclear whether mean effect sizes for subgroup analyses or analyses with moderators are sufficient, or a global mean effect size is required."
Extremely easy,"The question is clear. I just don't think it's necessary. If a weather forecaster told you the expected rainfall for a whole continent (overall mean), would that be useful at all? Obviously depends on the scientific question. This can totally make sense if the meta-analytic question is something like ""does drug X improve health outcome Y in adults?"" (although any question probably should consider moderators). But in the environmental sciences, I think less of our questions are of this nature. Moderators, by default in my opinion, need to be factored in."
Somewhat easy,NA
Extremely easy,I am wondering whether it is worth to provide some measures used to present overall mean effect as examples (i.e. within brackets)
Extremely easy,NA
Extremely easy,NA
Somewhat easy,Generally easy to find in a figure or text
