Q27,Q26
Somewhat easy,NA
NA,NA
Somewhat easy,What about studies that say to contact author/available upon request?
Somewhat easy,NA
Somewhat easy,"* What should be done if the data has been only partially reported? 
* I would suggest to detail in the question ""Do the authors report the data (i.e. extracted data used to calculate effect sizes, calculated/transformed data used to conduct the meta-analysis (effect size estimate, variance))"""
Extremely easy,NA
Extremely easy,NA
Somewhat easy,NA
Neither easy nor difficult,"There is a typo in the 'Criteria for 'Yes'' Section. 
'The authors have reported the data extracted from each eligible primary **study?** in the manuscript......' 

Mostly this criteria was easy to apply but it was not always obvious which data were used to calculate the effect sizes and conduct the meta-analysis, therefore it was not always obvious whether these had been included in the tables."
Extremely easy,NA
Somewhat difficult,"The phrase ""report the data"" is a bit vague. Does it mean the authors have to provide the raw data or shall we tick ""yes"" if the authors have listed what kind of data is included?"
Somewhat easy,"I think it's worth noting that the data availability statement is sometimes only displayed in the online html version (not in the PDF). Also, what is referred to as ""the data"" needs to be more strictly defined as ""raw data"". It is very common for authors to present some data, or the data with the calculated effect sizes, but not the RAW data that was used to calculate the effect sizes."
Neither easy nor difficult,"I often find this information in forest plots, does it count?"
Neither easy nor difficult,NA
Somewhat difficult,NA
