Q5,Q4
Somewhat difficult,"some of the GUI/click based software that does not produce a code per se but can produce the exact log of all procedures which can be used to recreate the analyses. In this case it would make sense to score as ""yes"". However, if you are not familiar wth siftware it might be hard to tell whether it produces a log."
Extremely easy,NA
Extremely easy,NA
Somewhat easy,"* The information provided in the glossary - definition of the graphical user interface (GUI) - was essential in order to be able to respond correctly if software such as Stata was used.
* What if the code is only partially reported?"
Extremely easy,NA
Somewhat easy,"It might be helpful to specify which common GUI software does (Stata, SPSS) and does not (Comprehensive Meta-Analysis Software) produce syntax or a coding log that can be reported. This distinction was mostly clear to me after reading the MATES checklist and glossary, so perhaps some of that text could be included for the 'Not Applicable' category."
Extremely easy,"I don't agree with the NA.  Code is either there or not, and for full transparency it should be.  Using a GUI does not mitigate that lack of transparency."
Somewhat difficult,This was difficult to apply to studies which used a GUI which could provide a syntax or coding log but this has not been reported in the manuscript or SI. E.g where a study has used Stata and has not provided a syntax/coding log.  In these instances I answered 'No' but I was unsure whether this should be 'not applicable' as it us a GUI software rather than raw coding software
Extremely easy,NA
Somewhat easy,"I used the keywords like ""coding"", ""code"", ""programming"" to search the answer. However, it seems that most papers did not display the code."
Somewhat easy,"It may be hard for some people to decide between ""No"" and ""NA"", because it requires knowledge on which software uses code vs. point-and-click."
Somewhat easy,"Good question to evaluate the transparency and reproducibility of studies. But very rarely done.






"
Neither easy nor difficult,"I sometimes struggle to decide between 'No' and 'Not Applicable'. While I am familiar with some statistical languages and software, I cannot distinguish if unfamiliar programs are code-based or GUI/click-based."
Somewhat difficult,NA
Somewhat easy,NA
Extremely easy,Most times authors do not mention this.
Somewhat easy,"You could make this clearer if the objective here is reproducibility (""relevant code"" could be taken as ambiguous and authors would wiggle off the hook).
To make this item easier, it could help to list out some known, relevant software where this applies (e.g., R, Stata, SAS?, Python, whatever) as some may not know -- I had to look up a few of the software. IMO, it'd be nice to encourage reproducible software rather than whatever CMA and others do."
Neither easy nor difficult,"I got a bit confused with question 2. I understand that it is about finding that there is the detail of the analysis developed in some programming language that is useful to replicate? (i.e. I mean, you would like to see all the detail in R for example?). 
While only one article mentions a reference where a code could be seen (which I have not reviewed and am not sure if it details it) in no other case have I seen instructions being added in a coding language. 

I am left wondering to what extent this question is important for assessing the methodological quality of the article in terms of meta-analysis?"
Extremely easy,NA
Extremely easy,NA
Extremely easy,NA
Somewhat easy,"In some cases, I had to search for the software to see of what type it was."
