Q29,Q28
Somewhat easy,"made mistake here a few times when the data was not reported selected ""no"" rather than ""NA"". My foult not reading carefully!"
Somewhat difficult,"Many studies list the types of data extracted but don't provide ""descriptions"" of the variables. The wording of this item was a bit confusing about what it was asking. Does it was explicit definitions or is a list of data items enough?"
Somewhat easy,NA
Somewhat difficult,"* What should be done in case of partially reported data?
* In the reporting of variables, I see two categories, variables that describe the scope of the meta-analysed literature (e.g. geography, year of publication) and variables that are used in the meta-analysis in subgroup analyses. The first category could be covered by item 14, but the second category would be covered by item 13 (‘data used to conduct the meta-analysis’). Items 13 and 14 could be merged (and the assessment would only concern the reporting of variables used in the meta-analysis) or these two categories of variables would have to be clarified in the description of the questions."
Neither easy nor difficult,"I did have a case where they did this (item 14), but didn't do item 13 (no data provided)."
Extremely easy,NA
Neither easy nor difficult,NA
Somewhat easy,"This was difficult to apply in instances where the data were not described explicitly as such but were clear from Table column headings or similar.  In these instances I answered 'Yes' and commented in the justification box.

Should a description of the variable also include a unit?"
Somewhat easy,NA
Somewhat easy,NA
Somewhat easy,NA
Somewhat difficult,"
I'm not entirely sure I understood this question well. Should authors describe in the text the variables they are interested in? Should this description be exhaustive? Authors often mention some variables, but are they comprehensive? Or should we have access to them (e.g., in their database)?"
Neither easy nor difficult,NA
Somewhat difficult,NA
Extremely easy,NA
Neither easy nor difficult,It is uclear whether data provided in a well formatted table with descriptive variables need metadata.
Somewhat easy,"Extra ""study"" in ""from each eligible study primary study""
I'm confused here as answering 'no' to item 13 qualifies this item for 'not applicable'. Even if authors don't make the collated dataset available, they should still describe the variables extracted, no? Or do you mean, did the authors also supply the additional variables with their dataset? (I'd count that as part of item 13.)
Also, the question could confuse some as it sounds like you'd have to describe the variable for ""each eligible study"", but the description should just apply across the meta-analysis broadly.
In some cases, the detail on what is reported can be sparse -- but that gets into subjective territory."
Neither easy nor difficult,"I find it a bit confusing to identify up to what type of metadata authors are expected to report. While it is mentioned to review ""metadata"", however, the word metadata does not have an exclusive definition, since there are several expressions by which it is known. I have taken as a criterion the fact that the primary studies are cited with the authors' surname and their doi reference, but I do not know if anything else was expected."
Somewhat difficult,"This was a tricky one as I was not sure to what extend it is expected to present the descriptions. Additionally, I feel there is some overlapping in items 13 and 14"
Neither easy nor difficult,NA
Extremely easy,NA
Neither easy nor difficult,"In some case I found that the full dataset was not provided but the variables were indeed indicated for each study, which questions the criterion specified for NA in this question.
On the other hand, I found it hard to answer the Question posed here because of the word ""descriptions"". Some m-a's indicate the variables measured in each retrieved study but don't describe them. In some cases the variable is self-explanatory. How much description of the individual variables is necessary to give a ""yes"" here? Is it not enough if the variables are simply ""indicated""?"
