Q3,Q2
Somewhat easy,"unclear if ""report the software or programming language"" simple means that reporting the name is sufficient"
Extremely easy,NA
Extremely easy,NA
Somewhat easy,NA
Extremely easy,NA
Extremely easy,NA
Extremely easy,"The question states software/language and models used, while the criteria only state software/language"
Extremely easy,NA
Extremely easy,NA
Extremely easy,"We can use the keyword ""software"" to identify this question. It is suggested to provide a list of common software as example or for selection (i.e., STATA, Matlab, Python)"
Extremely easy,NA
Extremely easy,"
I would say that the software is not the most important; what matters is the details of the models used. If possible, include details such as the estimator of tau2 (DerSimonian, others), how the confidence intervals are calculated (parametric, non-parametric, etc.). This will have a much greater impact on the results than the software used, I believe."
Extremely easy,NA
Extremely easy,NA
Extremely easy,NA
Neither easy nor difficult,"Unclear how specific the information needs to be. In a few instances, authors reported the use of R but without details on the packages used."
Extremely easy,"You could brief the parenthetical as it refers to 'analysis': ""(i.e., computations, statistical modeling, and inferences comprising the meta-analysis)"""
Somewhat easy,"In some cases, different softwares are used according to the analysis performed, and I would like to know if this information was important to discriminate it, since I have mostly surveyed one of them and not all of them."
Extremely easy,NA
Extremely easy,NA
Extremely easy,NA
Extremely easy,It is generally very easy to identify software in the statistical sections
