Q9,Q8
Somewhat easy,"sometimes different terminology used which may be hard to interpret - e.g. samples, studies."
Somewhat easy,NA
Extremely easy,NA
Somewhat difficult,"Sometimes the number of effect sizes corresponds to the number of primary studies, and the authors therefore do not explicitly report the number of effect sizes, but do explicitly cite the number of primary studies. Perhaps you could add a clarification to take account of these cases."
Somewhat easy,NA
Somewhat easy,"I found the language for MATES item 4 to be well-defined reasonable, but there can be confusion when authors do not report results using the same words. For example, one paper that I reviewed (#35 - Rezaeian et al, 2023) appeared to report these as 'datasets' instead of 'effect sizes', which was ambiguous and led me to spend a lot of time trying to figure out what the authors MEANT instead of what they actually wrote. This may be an especially common issue for authors who are writing in a second or third language, but I also don't think it is easy to solve."
Extremely easy,NA
Somewhat difficult,"I found this criteria difficult. 
The sentence 'The total number of effect sizes cannot be inferred by counting and must be stated explicitly.' is included in both the 'Yes' and 'No' criteria.  I feel it would be easier to understand if the 'Yes' criteria was 'Total number of effect sizes are stated explicitly' and the 'No' criteria was changed to say 'Effect sizes are not stated, or can only be inferred by counting'"
Somewhat easy,"I was a little confused with this item because I was not sure if you wanted the authors to state specifically the number of effect sizes or if it would be enough that they shown the effect sizes in the forest plots (from where we can see how many were used). However, because it is easy to count the number of effect sizes used in the forest plots I consired this as 'authors report the total number of effect size estimates synthesised'. Also, the term 'total' was a little confusing to me because maybe more important than the total number of effect sizes in a matrix is the number of effect sizes per moderator level because this is what directly affects the confidence we have in the result for that subgroup."
Somewhat easy,NA
Somewhat easy,"For studies using fixed-effect meta-analyses, the number of effect sizes estimates is often the number of studies. Maybe it's worth mentioning that the authors have to clearly specify how many effect sizes were taken from each study, and how to deal with studies mentioning ""fixed-effect"" without further details?"
Somewhat difficult,"
To my surprise, it's more difficult than I thought, especially for medical studies. For certain setups (cohorts, etc.), in my opinion, there's no need to distinguish between studies and effect sizes (?). When there is a classic forest plot, you just need to count the number of lines in the forest plot, right?"
Neither easy nor difficult,NA
Neither easy nor difficult,NA
Neither easy nor difficult,NA
Neither easy nor difficult,"In cases in which authors do not report this number, it is possible that each study provides a single effect size, so authors might think reporting only the number of studies is enough."
Neither easy nor difficult,This may need to be clearer. Some effect sizes / responses are whole study-level and authors just imply this in the text (e.g. a clinical trial with N participants giving just the one odds ratio; authors don't really state that one study = one effect size). Other meta-analyses can use multiple paired observations per study (e.g. logRR) and they usually are more explicit about that. Some of this is due to the field of study or common conventions.
Somewhat easy,NA
Somewhat easy,The item in the checklist is clear but I felt most of the articles do not explicitly state the number
Neither easy nor difficult,NA
Somewhat difficult,Most of the studies does not report effect sizes
Somewhat difficult,"The studies that only had one effect size per paper did not report this, so it was hard to clearly identify the number of effect sizes in some cases. Others reported the number of subjects in each study although there was only one effect size."
