Q21,Q20
Somewhat easy,NA
NA,NA
Extremely easy,NA
Extremely easy,NA
Somewhat easy,Can we answer yes if heterogeneity is assessed only during a subgroup analysis?
Somewhat easy,NA
Somewhat easy,"One study I reviewed did not report heterogeneity statistics, but did test for the 'significance' of heterogeneity using Chi-squared tests and p-values. I did not consider that to be the same as reporting heterogeneity statistics, but perhaps it would be helpful to explicitly say whether or not these kinds of significance tests are acceptable."
Somewhat easy,NA
Somewhat easy,NA
Somewhat easy,NA
Somewhat easy,"Keyword ""heterogeneity"" is used."
Somewhat easy,"I found that authors sometimes mention that they assessed heterogeneity, but do not necessarily report the values of their heterogeneity assessment. What response should be used in this case? I also found a case where they only reported I2 for a small subgroup analysis in the supplement, but not for the main models. Does this count as ""yes"" or ""no""? I think we can be a bit more strict here, and require people to report heterogeneity values for their main analyses."
Somewhat easy,NA
Somewhat easy,NA
Somewhat easy,NA
Extremely easy,"For items 10, 11 and 13 I wondered if it was enough if the authors say they intend to do the assessment (in methods). It is quick to check in methods, but I didn't go check the results every time to see if they had actually reported the 'results' of the assessment. Maybe this can be clarified."
Extremely easy,NA
